turnover,age,gender_cent,gender_raw,educ_cent,educ_raw,manager_cent,manager_raw,cont_hour,cont_type_cent,cont_type_raw,lmx_cent,lmx_raw,infoshare_cent,infoshare_raw,voice_cent,voice_raw,paysatis_cent,paysatis_raw,fairness_cent,fairness_raw,proact,careeropp_cent,careeropp_raw
2.00,12.64,0.57,1.00,1.08,5.00,-0.24,0.00,-11.56,-0.80,0.00,0.34,4.08,-1.52,2.00,-0.44,2.75,0.63,4.00,0.26,3.63,0.06,-0.29,3.00
2.67,-17.36,-0.43,0.00,0.08,4.00,-0.24,0.00,-31.56,0.20,1.00,1.09,4.83,-0.02,3.50,0.81,4.00,0.30,3.67,0.88,4.25,0.06,0.04,3.33
2.00,-15.36,0.57,1.00,1.08,5.00,-0.24,0.00,-23.56,0.20,1.00,0.01,3.75,-1.52,2.00,-0.69,2.50,0.30,3.67,-0.05,3.32,-0.74,-1.96,1.33
2.33,8.64,0.57,1.00,-0.92,3.00,-0.24,0.00,-7.56,0.20,1.00,0.43,4.17,-1.02,2.50,-0.19,3.00,0.96,4.33,0.82,4.19,0.46,0.04,3.33
2.00,-10.36,0.57,1.00,-0.92,3.00,-0.24,0.00,0.44,0.20,1.00,0.59,4.33,-1.52,2.00,-0.19,3.00,0.96,4.33,0.57,3.94,0.06,-0.63,2.66
1.67,-19.36,-0.43,0.00,-2.92,1.00,-0.24,0.00,-21.56,0.20,1.00,0.09,3.83,-0.02,3.50,0.81,4.00,1.30,4.67,1.07,4.44,0.26,0.04,3.33
1.33,-21.36,0.57,1.00,-2.92,1.00,-0.24,0.00,-19.56,-0.80,0.00,0.26,4.00,-1.52,2.00,1.06,4.25,0.63,4.00,0.63,4.00,-0.74,0.37,3.66
1.00,-5.36,0.57,1.00,-0.92,3.00,0.76,1.00,4.44,0.20,1.00,0.51,4.25,-0.02,3.50,0.06,3.25,0.63,4.00,-0.37,3.00,1.06,-0.29,3.00
1.00,-20.36,-0.43,0.00,0.08,4.00,-0.24,0.00,-21.56,0.20,1.00,0.34,4.08,-0.02,3.50,0.06,3.25,1.63,5.00,1.63,5.00,-0.74,-0.63,2.66
1.00,-21.36,0.57,1.00,0.08,4.00,-0.24,0.00,-27.56,-0.80,0.00,0.68,4.42,-0.52,3.00,0.56,3.75,1.63,5.00,0.51,3.88,-0.14,0.37,3.66
1.00,-19.36,0.57,1.00,0.08,4.00,-0.24,0.00,-27.56,-0.80,0.00,0.68,4.42,-0.52,3.00,0.56,3.75,1.63,5.00,-0.05,3.32,-0.14,-0.29,3.00
1.00,-20.36,-0.43,0.00,-2.92,1.00,-0.24,0.00,-21.56,0.20,1.00,0.26,4.00,-0.02,3.50,0.56,3.75,0.63,4.00,0.32,3.69,0.06,0.04,3.33
1.33,-18.36,0.57,1.00,0.08,4.00,-0.24,0.00,-31.56,0.20,1.00,0.18,3.92,-1.52,2.00,0.06,3.25,-1.04,2.33,0.07,3.44,1.06,-0.63,2.66
2.33,-17.36,0.57,1.00,1.08,5.00,-0.24,0.00,-31.56,0.20,1.00,0.59,4.33,-1.52,2.00,-0.94,2.25,0.63,4.00,0.38,3.75,0.06,-0.63,2.66
2.00,-16.36,0.57,1.00,1.08,5.00,-0.24,0.00,-31.56,-0.80,0.00,-0.32,3.42,-2.02,1.50,-0.44,2.75,0.30,3.67,0.26,3.63,0.06,-1.63,1.66
1.00,-14.36,0.57,1.00,-1.92,2.00,-0.24,0.00,-11.56,0.20,1.00,0.84,4.58,1.48,5.00,-0.94,2.25,0.30,3.67,1.07,4.44,-1.14,0.37,3.66
1.00,-18.36,0.57,1.00,0.08,4.00,-0.24,0.00,-31.56,0.20,1.00,0.51,4.25,0.48,4.00,0.81,4.00,-0.04,3.33,0.07,3.44,0.26,-0.29,3.00
2.00,-8.36,-0.43,0.00,1.08,5.00,0.76,1.00,8.44,0.20,1.00,-0.32,3.42,0.48,4.00,-0.19,3.00,-0.04,3.33,0.20,3.57,0.06,0.71,4.00
1.33,-10.36,-0.43,0.00,1.08,5.00,-0.24,0.00,8.44,-0.80,0.00,0.01,3.75,0.48,4.00,0.06,3.25,-0.37,3.00,-0.18,3.19,-0.14,-0.63,2.66
2.33,-6.36,-0.43,0.00,1.08,5.00,-0.24,0.00,8.44,0.20,1.00,-0.16,3.58,1.48,5.00,1.31,4.50,-2.04,1.33,-0.49,2.88,-0.34,-0.96,2.33
3.00,-3.36,-0.43,0.00,1.08,5.00,-0.24,0.00,4.44,0.20,1.00,0.01,3.75,0.48,4.00,0.06,3.25,-1.37,2.00,-0.24,3.13,0.06,1.37,4.66
1.00,-7.36,0.57,1.00,-0.92,3.00,0.76,1.00,-15.56,-0.80,0.00,0.01,3.75,0.98,4.50,1.06,4.25,0.63,4.00,0.63,4.00,1.06,-0.29,3.00
1.00,4.64,-0.43,0.00,-0.92,3.00,0.76,1.00,8.44,0.20,1.00,0.76,4.50,-0.02,3.50,0.31,3.50,0.96,4.33,0.76,4.13,1.06,1.71,5.00
1.33,-9.36,-0.43,0.00,1.08,5.00,-0.24,0.00,8.44,0.20,1.00,-0.16,3.58,-1.02,2.50,-0.19,3.00,0.30,3.67,0.45,3.82,0.06,-0.29,3.00
2.00,-6.36,-0.43,0.00,1.08,5.00,-0.24,0.00,8.44,0.20,1.00,0.43,4.17,1.48,5.00,-0.19,3.00,-0.04,3.33,0.76,4.13,0.26,0.71,4.00
2.00,16.64,0.57,1.00,-0.92,3.00,-0.24,0.00,-15.56,-0.80,0.00,0.01,3.75,-0.52,3.00,0.06,3.25,0.30,3.67,-0.37,3.00,-0.34,-0.29,3.00
1.00,-0.36,-0.43,0.00,1.08,5.00,0.76,1.00,8.44,-0.80,0.00,0.84,4.58,1.48,5.00,-0.44,2.75,0.63,4.00,0.26,3.63,1.06,0.37,3.66
1.00,2.64,-0.43,0.00,1.08,5.00,-0.24,0.00,8.44,-0.80,0.00,0.59,4.33,0.48,4.00,-0.44,2.75,0.63,4.00,-0.37,3.00,-0.34,0.71,4.00
1.00,8.64,-0.43,0.00,1.08,5.00,0.76,1.00,8.44,0.20,1.00,-0.74,3.00,0.98,4.50,1.06,4.25,0.96,4.33,-0.24,3.13,-0.34,0.04,3.33
3.33,13.64,0.57,1.00,-0.92,3.00,-0.24,0.00,-11.56,0.20,1.00,-0.16,3.58,-2.02,1.50,-0.69,2.50,-0.04,3.33,-0.80,2.57,0.06,0.04,3.33
1.00,17.64,0.57,1.00,-1.92,2.00,-0.24,0.00,-26.56,0.20,1.00,0.18,3.92,1.48,5.00,1.81,5.00,0.63,4.00,0.63,4.00,0.06,0.71,4.00
3.33,-4.36,0.57,1.00,-3.92,0.00,-0.24,0.00,-6.56,0.20,1.00,-0.66,3.08,-2.52,1.00,-0.94,2.25,-1.70,1.67,-0.99,2.38,1.06,-1.63,1.66
1.67,-10.36,0.57,1.00,1.08,5.00,-0.24,0.00,8.44,0.20,1.00,-0.57,3.17,1.48,5.00,1.06,4.25,-0.37,3.00,0.13,3.50,0.06,0.71,4.00
1.00,-9.36,0.57,1.00,1.08,5.00,-0.24,0.00,-29.56,0.20,1.00,0.18,3.92,1.48,5.00,0.56,3.75,-0.04,3.33,-0.05,3.32,0.06,0.04,3.33
1.00,19.64,0.57,1.00,-0.92,3.00,-0.24,0.00,-19.56,0.20,1.00,-0.07,3.67,1.48,5.00,1.56,4.75,-0.04,3.33,0.63,4.00,0.06,1.37,4.66
1.00,15.64,0.57,1.00,-0.92,3.00,-0.24,0.00,8.44,0.20,1.00,1.26,5.00,1.48,5.00,1.81,5.00,0.63,4.00,1.63,5.00,1.06,1.71,5.00
1.00,15.64,0.57,1.00,-0.92,3.00,-0.24,0.00,2.44,0.20,1.00,0.09,3.83,1.48,5.00,-0.19,3.00,-1.37,2.00,-0.12,3.25,0.06,0.04,3.33
2.00,-14.36,0.57,1.00,-0.92,3.00,-0.24,0.00,0.44,-0.80,0.00,-0.24,3.50,1.48,5.00,1.06,4.25,-0.37,3.00,-0.12,3.25,-1.14,0.04,3.33
2.33,16.64,0.57,1.00,-0.92,3.00,-0.24,0.00,3.44,-0.80,0.00,-0.32,3.42,-2.52,1.00,-0.69,2.50,-0.04,3.33,-0.12,3.25,-0.94,-0.29,3.00
1.00,-12.36,0.57,1.00,1.08,5.00,0.76,1.00,6.44,0.20,1.00,0.76,4.50,-0.52,3.00,0.81,4.00,0.96,4.33,0.13,3.50,0.46,-0.63,2.66
5.00,-12.36,0.57,1.00,1.08,5.00,-0.24,0.00,-16.56,0.20,1.00,0.43,4.17,0.48,4.00,-0.44,2.75,-0.04,3.33,0.63,4.00,-0.14,-1.96,1.33
