turnover,code,age,gender,educ,manager,cont_hour,cont_type,lmx,infoshare,voice,paysatis,fair,proact,caropp,N,FTEN,FTELY,employee_council,hr_rep,n_levels,n_deps,n_magers,familybiz,HR1,HR2,HR3,HR4,HR5,HR6,HR7,HR8,HR9,superboard,adv_board,corp_entr,stratplan,entr_orient
2.666666667,ALgeel,30.14,0,5,1,8.44,1,3.83,5,3.5,4,3.82,1.06,2.33,-18.27166437,-14.40302613,-15.52063274,-0.170563961,-0.44085282,-0.667125172,0.229023384,-1.463548831,-0.549518569,-0.136176066,0.849381018,0.171939477,-0.149931224,-0.539202201,0.812929849,0.905089409,-0.044704264,0.149243466,-0.04561161,-0.085434174,0.170796722,-0.304809052,0.648773246
2.333333333,ALgrijs,26.14,0,3,0,6.44,1,3.75,1.5,2,3.33,3.13,0.06,2.66,-18.27166437,-29.40302613,-25.52063274,-0.170563961,0.55914718,-2.667125172,-3.770976616,-2.463548831,0.450481431,-1.136176066,-0.150618982,0.171939477,-1.149931224,-0.539202201,-0.187070151,-0.094910591,-0.044704264,0.149243466,-0.04561161,-0.085434174,-0.829203278,-0.458655206,0.09321769
2.333333333,ALgrijs,33.14,0,3,1,6.44,1,3.67,1,1.75,3.67,3.07,0.66,3.33,-18.27166437,-29.40302613,-25.52063274,-0.170563961,0.55914718,-2.667125172,-3.770976616,-2.463548831,0.450481431,-1.136176066,-0.150618982,0.171939477,-1.149931224,-0.539202201,-0.187070151,-0.094910591,-0.044704264,0.149243466,-0.04561161,-0.085434174,-0.829203278,-0.458655206,0.09321769
2.333333333,ALgrijs,53.14,1,2,0,-18.56,1,3.67,5,5,3,3.75,-0.54,3,-18.27166437,-29.40302613,-25.52063274,-0.170563961,0.55914718,-2.667125172,-3.770976616,-2.463548831,0.450481431,-1.136176066,-0.150618982,0.171939477,-1.149931224,-0.539202201,-0.187070151,-0.094910591,-0.044704264,0.149243466,-0.04561161,-0.085434174,-0.829203278,-0.458655206,0.09321769
2,ALgrijs,23.14,1,4,0,-26.56,0,4.42,3,3,3.67,3.63,0.46,2.33,-18.27166437,-29.40302613,-25.52063274,-0.170563961,0.55914718,-2.667125172,-3.770976616,-2.463548831,0.450481431,-1.136176066,-0.150618982,0.171939477,-1.149931224,-0.539202201,-0.187070151,-0.094910591,-0.044704264,0.149243466,-0.04561161,-0.085434174,-0.829203278,-0.458655206,0.09321769
1,ALgrijs,45.14,1,3,1,8.44,1,4.42,2.5,3,4,3.88,-0.14,4,-18.27166437,-29.40302613,-25.52063274,-0.170563961,0.55914718,-2.667125172,-3.770976616,-2.463548831,0.450481431,-1.136176066,-0.150618982,0.171939477,-1.149931224,-0.539202201,-0.187070151,-0.094910591,-0.044704264,0.149243466,-0.04561161,-0.085434174,-0.829203278,-0.458655206,0.09321769
1.333333333,ALgrijs,40.14,0,3,0,0.44,0,4.92,5,4.25,4,3.94,1.06,3.66,-18.27166437,-29.40302613,-25.52063274,-0.170563961,0.55914718,-2.667125172,-3.770976616,-2.463548831,0.450481431,-1.136176066,-0.150618982,0.171939477,-1.149931224,-0.539202201,-0.187070151,-0.094910591,-0.044704264,0.149243466,-0.04561161,-0.085434174,-0.829203278,-0.458655206,0.09321769
2,ALgrijs,50.14,1,2,0,-11.56,1,3.67,4.5,4,3,3.32,0.26,2.66,-18.27166437,-29.40302613,-25.52063274,-0.170563961,0.55914718,-2.667125172,-3.770976616,-2.463548831,0.450481431,-1.136176066,-0.150618982,0.171939477,-1.149931224,-0.539202201,-0.187070151,-0.094910591,-0.044704264,0.149243466,-0.04561161,-0.085434174,-0.829203278,-0.458655206,0.09321769
1,ALgrijs,50.14,1,3,0,-11.56,1,4.25,4.5,3,4.33,3.32,-0.54,1.66,-18.27166437,-29.40302613,-25.52063274,-0.170563961,0.55914718,-2.667125172,-3.770976616,-2.463548831,0.450481431,-1.136176066,-0.150618982,0.171939477,-1.149931224,-0.539202201,-0.187070151,-0.094910591,-0.044704264,0.149243466,-0.04561161,-0.085434174,-0.829203278,-0.458655206,0.09321769
1.333333333,ALgrijs,56.14,1,3,0,-31.56,1,3.58,3,3,4,4.19,-0.14,1,-18.27166437,-29.40302613,-25.52063274,-0.170563961,0.55914718,-2.667125172,-3.770976616,-2.463548831,0.450481431,-1.136176066,-0.150618982,0.171939477,-1.149931224,-0.539202201,-0.187070151,-0.094910591,-0.044704264,0.149243466,-0.04561161,-0.085434174,-0.829203278,-0.458655206,0.09321769
